일련번호	단어	감정범주	빈도	감정정도M	감정정도STD
136	멋쩍다	기타	30	6.39	2.73
137	멸시당하다	분노	66.3	7.13	2.53
138	모멸감	분노	66.3	7.22	2.45
139	모욕적	분노	75	7.08	2.22
140	못되다	분노	63.7	4.95	2.45
141	못미덥다	혐오	33.8	3.69	2.18
142	무료하다	지루함	96.3	8.02	2.23
143	무섭다	공포	90	8.12	2.49
144	무시당하다	분노	61.3	6.23	2.37
145	무시무시하다	공포	85	7.43	2.21
146	무안하다	기타	36.3	6.57	2.24
147	뭉클하다	슬픔	76.3	6.58	2.41
148	미안하다	슬픔	86.3	5.04	2.62
149	미친개	분노	57.5	6.67	3.03
150	밉다	분노	70	5.55	2.81
151	반갑다	기쁨	95	7.45	2.47
152	반신반의하다	흥미	32.5	4.57	2.71
153	발칙하다	분노	67.5	6.99	6.83
154	방그레	기쁨	97.5	6.98	2.76
155	방글방글	기쁨	96.3	6.97	2.49
156	방긋	기쁨	98.8	6.5	2.74
157	버럭	분노	88.8	6.79	2.68
158	보기좋다	기쁨	92.5	6.06	2.8
159	복받치다	슬픔	83.8	7.55	2.24
160	복수심	분노	91.3	8.17	2.04
161	부끄럽다	슬픔	32.5	3.99	2.33
162	부담스럽다	혐오	31.3	4.49	3.07
163	부러워하다	흥미	41.3	5.48	1.99
164	분개하다	분노	81.3	8.46	1.87
165	분노하다	분노	91.3	9.04	1.71
166	분통터지다	분노	92.5	8.25	1.82
167	분하다	분노	86.3	8.33	2
168	불만스럽다	분노	72.5	5.31	2.82
169	불만족하다	분노	61.3	4.79	2.63
170	불쌍하다	슬픔	91.3	5.9	2.4
171	불안정하다	공포	38.8	5.4	2.68
172	불안하다	공포	63.7	6.13	2.39
173	불유쾌하다	분노	48.8	5.33	2.54
174	불행하다	슬픔	83.8	6.81	2.46
175	비딱하다	분노	50	4.89	2.57
176	비아냥거리다	분노	62.5	5.25	2.83
177	비참하다	슬픔	93.8	6.77	2.26
178	비탄하다	슬픔	80	6.7	2.58
179	비통하다	슬픔	91.3	7.92	1.98
180	빌어먹을	분노	91.3	6.89	2.55
181	빙그레	기쁨	95	5.81	2.79
182	뼈저리다	슬픔	57.5	6.12	2.43
183	뾰루퉁하다	분노	51.2	2.8	1.94
184	뿌듯하다	기쁨	98.8	7.24	2.37
185	삐치다	분노	65	3.84	2.39
186	사랑스럽다	기쁨	93.8	7.95	2.17
187	사무치다	슬픔	83.8	7.49	2.24
188	살벌하다	공포	88.8	6.92	2.3
